,time,magnitude
311,619.0,6182
312,619.0,669
313,620.0,840
314,624.0,2954
315,626.0,270
316,629.0,4418
317,629.0,1428
318,635.0,71
319,637.0,531
320,637.0,654
321,640.0,597
322,643.0,181
323,645.0,8
324,645.0,11743
325,646.0,340
326,646.0,1369
327,647.0,5756
328,649.0,2541
329,649.0,435
330,650.0,3636
331,651.0,1239
332,652.0,631
333,657.0,12481
334,664.0,2584
335,667.0,66
336,669.0,2414
337,671.0,47
338,672.0,7190
339,677.0,2111
340,677.0,787
341,683.0,112
342,685.0,93
343,687.0,64
344,688.0,106
345,692.0,45
346,695.0,4468
347,702.0,1235
348,705.0,1148
349,706.0,422
350,708.0,599
351,712.0,4103
352,718.0,234
353,719.0,308
354,719.0,290
355,719.0,98
356,723.0,133
357,725.0,1330
358,726.0,1272
359,730.0,308
360,733.0,47
361,734.0,3809
362,734.0,1284
363,741.0,49
364,742.0,303
365,751.0,1197
366,751.0,327
367,753.0,2162
368,759.0,3106
369,761.0,56
370,765.0,1572
371,769.0,1819
372,771.0,1625
373,778.0,3173
374,780.0,34
375,783.0,1975
376,783.0,1925
377,784.0,139
378,785.0,252
379,787.0,84
380,794.0,15718
381,795.0,2693
382,797.0,2978
383,799.0,39
384,801.0,2467
385,806.0,347
386,807.0,657
387,807.0,3921
388,809.0,438
389,815.0,413
390,818.0,3212
391,819.0,2667
392,820.0,2663
393,822.0,32
394,825.0,11882
395,828.0,35
396,844.0,1148
397,846.0,173
398,846.0,40
399,848.0,11436
400,850.0,114
401,852.0,94
402,855.0,1739
403,857.0,580
404,860.0,1051
405,861.0,341
406,866.0,167
407,871.0,168
408,885.0,46
409,892.0,4717
410,892.0,316
411,893.0,4071
412,894.0,3470
413,898.0,24
414,900.0,47
415,907.0,149
416,923.0,2113
417,925.0,3318
418,929.0,2728
419,935.0,2228
420,937.0,1405
421,942.0,81
422,943.0,98
423,943.0,2298
424,944.0,614
425,947.0,549
426,948.0,3269
427,952.0,723
428,954.0,276
429,956.0,45
430,958.0,317
431,962.0,8977
432,964.0,2374
433,966.0,5417
434,972.0,1754
435,975.0,1037
436,980.0,2441
437,984.0,47
438,989.0,257
439,992.0,120
440,1000.0,1666
441,1000.0,7964
442,1001.0,37664
443,1004.0,287
444,1004.0,901
445,1006.0,219
446,1006.0,635
447,1007.0,330
448,1014.0,63
449,1018.0,3838
450,1023.0,1627
451,1027.0,1431
452,1028.0,2641
453,1032.0,2918
454,1035.0,476
455,1040.0,67
456,1042.0,961
457,1042.0,2529
458,1043.0,97
459,1044.0,2178
460,1049.0,15364
461,1058.0,2719
462,1059.0,84
463,1059.0,193
464,1073.0,226
465,1079.0,61
466,1081.0,1121
467,1089.0,2440
468,1091.0,3115
469,1096.0,129
470,1096.0,298
471,1096.0,2796
472,1098.0,281
473,1100.0,484
474,1107.0,48
475,1113.0,149
476,1115.0,58
477,1116.0,20
478,1118.0,14749
479,1120.0,538
480,1121.0,647
481,1123.0,2234
482,1125.0,416
483,1126.0,3350
484,1126.0,3156
485,1127.0,110
486,1130.0,837
487,1133.0,58
488,1137.0,148
489,1138.0,94
490,1140.0,1138
491,1151.0,56
492,1151.0,139
493,1155.0,121
494,1155.0,233
495,1158.0,41
496,1160.0,1715
497,1166.0,279
498,1170.0,128
499,1172.0,828
500,1179.0,1306
501,1184.0,64
502,1189.0,18
503,1192.0,656
504,1201.0,7033
505,1203.0,757
506,1203.0,16970
507,1208.0,964
508,1209.0,5897
509,1213.0,1557
510,1217.0,59
511,1218.0,240
512,1226.0,553
513,1229.0,10208
514,1229.0,837
515,1231.0,11463
516,1238.0,15693
517,1238.0,426
518,1240.0,73
519,1245.0,2914
520,1248.0,52
521,1248.0,1650
522,1257.0,325
523,1259.0,135
524,1263.0,69
525,1265.0,786
526,1267.0,897
527,1276.0,794
528,1279.0,33367
529,1280.0,3902
530,1281.0,98
531,1283.0,3728
532,1290.0,1621
533,1294.0,3215
534,1295.0,1439
535,1298.0,1066
536,1300.0,2326
537,1301.0,274
538,1302.0,367
539,1302.0,829
540,1303.0,201
541,1314.0,13
542,1330.0,19
543,1337.0,818
544,1342.0,5241
545,1346.0,881
546,1355.0,2446
547,1358.0,4859
548,1364.0,672
549,1366.0,757
550,1368.0,6262
551,1373.0,1050
552,1376.0,60
553,1382.0,2158
554,1384.0,2968
555,1391.0,5905
556,1391.0,671
557,1392.0,1881
558,1395.0,403
559,1404.0,550
560,1408.0,17
561,1414.0,3545
562,1416.0,1293
563,1420.0,179
564,1423.0,151
565,1430.0,4670
566,1431.0,2874
567,1432.0,7
568,1436.0,500
569,1447.0,169
570,1449.0,308
571,1453.0,378
572,1453.0,155
573,1457.0,153
574,1459.0,17888
575,1469.0,1570
576,1470.0,1507
577,1472.0,307
578,1473.0,30825
579,1474.0,627
580,1475.0,405
581,1480.0,699
582,1480.0,1588
583,1486.0,150
584,1495.0,883
585,1497.0,1848
586,1501.0,198
587,1503.0,1658
588,1512.0,1535
589,1516.0,517
590,1520.0,1694
591,1521.0,589
592,1526.0,1175
593,1527.0,79
594,1533.0,112
595,1540.0,17412
596,1540.0,455
597,1542.0,2827
598,1544.0,155
599,1547.0,102
600,1548.0,18243
601,1549.0,2026
602,1551.0,200
603,1552.0,4668
604,1553.0,7366
605,1553.0,3415
606,1555.0,1500
607,1556.0,133
608,1557.0,1122
609,1573.0,27
610,1573.0,130
611,1577.0,1708
612,1578.0,3528
613,1578.0,50
614,1587.0,672
615,1588.0,6089
616,1593.0,46
617,1597.0,157
618,1598.0,176
619,1608.0,492
620,1625.0,813
621,1627.0,294
622,1628.0,1287
623,1628.0,93
624,1630.0,878
625,1633.0,157
626,1635.0,532
627,1635.0,672
628,1651.0,197
629,1655.0,1097
630,1656.0,150
631,1657.0,112
632,1659.0,129
633,1669.0,76
634,1670.0,726
635,1672.0,894
636,1673.0,3172
637,1678.0,132
638,1688.0,228
639,1700.0,4002
640,1705.0,11702
641,1706.0,4630
642,1706.0,228
643,1711.0,1598
644,1713.0,13633
645,1726.0,23
646,1727.0,682
647,1727.0,2748
648,1729.0,1862
649,1733.0,137
650,1734.0,158
651,1735.0,299
652,1735.0,279
653,1739.0,1080
654,1742.0,444
655,1745.0,136
656,1754.0,47
657,1756.0,474
658,1756.0,390
659,1756.0,1552
660,1759.0,408
661,1763.0,1712
662,1773.0,3417
663,1778.0,7061
664,1779.0,66
665,1783.0,731
666,1790.0,112
667,1791.0,383
668,1793.0,12
669,1793.0,229
670,1796.0,593
671,1802.0,187
672,1803.0,632
673,1808.0,2859
674,1811.0,3387
675,1816.0,1102
676,1824.0,288
677,1825.0,20
678,1828.0,1340
679,1829.0,5313
680,1837.0,46
681,1838.0,822
682,1840.0,468
683,1846.0,13602
684,1847.0,2141
685,1856.0,499
686,1857.0,2795
687,1864.0,196
688,1865.0,698
689,1865.0,4321
690,1867.0,40
691,1869.0,3412
692,1869.0,6616
693,1871.0,10
694,1879.0,5604
695,1882.0,595
696,1885.0,1788
697,1887.0,1715
698,1897.0,3059
699,1905.0,1381
700,1905.0,603
701,1907.0,833
702,1910.0,25
703,1910.0,5655
704,1912.0,234
705,1913.0,4094
706,1918.0,210
707,1919.0,6318
708,1922.0,450
709,1924.0,98
710,1924.0,1940
711,1927.0,1167
712,1938.0,18
713,1939.0,734
714,1939.0,3217
715,1950.0,71
716,1958.0,4459
717,1961.0,4171
718,1962.0,2199
719,1963.0,96
720,1963.0,10579
721,1967.0,2766
722,1972.0,172
723,1974.0,2094
724,1976.0,966
725,1984.0,7524
726,1985.0,14135
727,1992.0,1453
728,2000.0,3455
729,2000.0,14
730,2001.0,359
731,2004.0,229
732,2005.0,70
733,2005.0,520
734,2006.0,493
735,2017.0,22
736,2027.0,263
737,2028.0,52
738,2031.0,76
739,2033.0,25644
740,2036.0,1502
741,2040.0,326
742,2043.0,202
743,2043.0,1454
744,2046.0,711
745,2050.0,2671
746,2060.0,770
747,2075.0,86
748,2084.0,286
749,2086.0,2611
750,2086.0,2261
751,2092.0,422
752,2093.0,1462
753,2099.0,428
754,2101.0,1640
755,2105.0,54
756,2108.0,74
757,2118.0,1434
758,2123.0,2620
759,2123.0,2845
760,2125.0,3319
761,2126.0,2958
762,2134.0,63
763,2143.0,1280
764,2148.0,141
765,2154.0,7235
766,2156.0,4135
767,2160.0,198
768,2166.0,1986
769,2168.0,626
770,2177.0,2264
771,2177.0,543
772,2183.0,126
773,2184.0,2250
774,2187.0,4679
775,2192.0,535
776,2192.0,298
777,2198.0,126
778,2217.0,3316
779,2227.0,16824
780,2228.0,908
781,2230.0,1242
782,2233.0,445
783,2237.0,3746
784,2238.0,111
785,2243.0,522
786,2243.0,321
787,2246.0,830
788,2258.0,666
789,2259.0,293
790,2264.0,3199
791,2267.0,2905
792,2272.0,1818
793,2279.0,4418
794,2283.0,1160
795,2284.0,2372
796,2285.0,7600
797,2287.0,2419
798,2291.0,395
799,2294.0,3619
800,2298.0,178
801,2299.0,1666
802,2303.0,3428
803,2309.0,1030
804,2310.0,7688
805,2325.0,389
806,2327.0,376
807,2331.0,651
808,2341.0,2368
809,2341.0,727
810,2343.0,2465
811,2344.0,270
812,2345.0,84
813,2348.0,2112
814,2349.0,2129
815,2353.0,5052
816,2360.0,94
817,2365.0,295
818,2366.0,47
819,2366.0,1852
820,2367.0,614
821,2371.0,183
822,2376.0,178
823,2377.0,989
824,2377.0,18
825,2381.0,18
826,2384.0,665
827,2387.0,326
828,2389.0,317
829,2389.0,751
830,2391.0,491
831,2392.0,4170
832,2394.0,34
833,2397.0,556
834,2400.0,112
835,2409.0,4699
836,2410.0,1904
837,2410.0,519
838,2411.0,131
839,2424.0,4268
840,2430.0,1112
841,2433.0,5437
842,2435.0,2106
843,2436.0,11809
844,2438.0,24
845,2440.0,70
846,2441.0,2320
847,2444.0,3805
848,2445.0,2803
849,2445.0,1323
850,2446.0,138
851,2452.0,292
852,2454.0,67
853,2461.0,2106
854,2461.0,5069
855,2479.0,224
856,2482.0,163
857,2491.0,505
858,2492.0,5273
859,2505.0,197
860,2509.0,14493
861,2522.0,302
862,2532.0,6246
863,2538.0,24223
864,2538.0,2866
865,2548.0,2903
866,2559.0,20
867,2561.0,1464
868,2562.0,536
869,2563.0,647
870,2566.0,438
871,2583.0,404
872,2586.0,217
873,2589.0,670
874,2590.0,203
875,2590.0,206
876,2591.0,207
877,2593.0,557
878,2597.0,302
879,2598.0,21
880,2602.0,475
881,2602.0,7220
882,2605.0,54
883,2607.0,189
884,2610.0,452
885,2611.0,335
886,2616.0,93
887,2621.0,652
888,2625.0,107
889,2630.0,42
890,2633.0,882
891,2636.0,1539
892,2641.0,3772
893,2642.0,2419
894,2645.0,49
895,2649.0,2445
896,2650.0,34
897,2660.0,680
898,2664.0,887
899,2665.0,491
900,2669.0,1612
901,2674.0,3426
902,2678.0,361
903,2686.0,547
904,2687.0,80
905,2689.0,301
906,2692.0,200
907,2694.0,4741
908,2694.0,126
909,2696.0,27
910,2697.0,922
911,2699.0,1008
912,2699.0,62
913,2700.0,60
914,2708.0,1553
915,2708.0,38
916,2714.0,345
917,2716.0,189
918,2719.0,4069
919,2722.0,4272
920,2725.0,5265
921,2725.0,10662
922,2730.0,2785
923,2733.0,57
924,2740.0,22456
925,2745.0,100
926,2746.0,349
927,2748.0,614
928,2748.0,1778
929,2753.0,3155
930,2754.0,2173
931,2757.0,500
932,2758.0,217
933,2762.0,286
934,2763.0,1373
935,2765.0,442
936,2766.0,2065
937,2766.0,6
938,2767.0,300
939,2772.0,4190
940,2784.0,4198
941,2792.0,419
942,2793.0,314
943,2797.0,594
944,2798.0,65
945,2801.0,7327
946,2803.0,693
947,2815.0,1757
948,2819.0,920
949,2821.0,502
950,2823.0,3253
951,2828.0,1049
952,2829.0,29
953,2831.0,453
954,2835.0,606
955,2836.0,57
956,2839.0,609
957,2843.0,154
958,2854.0,79
959,2856.0,3414
960,2860.0,321959
961,2863.0,20
962,2871.0,371
963,2878.0,3409
964,2882.0,80
965,2882.0,1333
966,2882.0,19641
967,2882.0,827
968,2886.0,1142
969,2887.0,818
970,2891.0,599
971,2892.0,5513
972,2893.0,2391
973,2902.0,488
974,2905.0,1046
975,2906.0,163
976,2906.0,149
977,2909.0,981
978,2910.0,3379
979,2911.0,523
980,2916.0,1316
981,2916.0,507
982,2921.0,944
983,2930.0,114
984,2934.0,322
985,2937.0,1437
986,2937.0,311
987,2938.0,1114
988,2942.0,166
989,2943.0,5840
990,2946.0,454
991,2948.0,811
992,2950.0,936
993,2953.0,1275
994,2956.0,1030
995,2960.0,1198
996,2963.0,3365
997,2965.0,856
998,2977.0,8100
999,2987.0,426
1000,2989.0,72
1001,2989.0,785
1002,2992.0,1460
1003,2993.0,76
1004,3002.0,19
1005,3005.0,222
1006,3007.0,1140
1007,3013.0,984
1008,3015.0,139
1009,3015.0,2164
1010,3015.0,1839
1011,3018.0,1294
1012,3023.0,1463
1013,3032.0,1225
1014,3036.0,6462
1015,3037.0,1139
1016,3039.0,99
1017,3043.0,9
1018,3045.0,418
1019,3046.0,203
1020,3047.0,26
1021,3052.0,3081
1022,3056.0,118
1023,3061.0,1271
1024,3061.0,1360
1025,3064.0,107
1026,3064.0,6870
1027,3065.0,125
1028,3068.0,3304
1029,3070.0,2759
1030,3081.0,206
1031,3082.0,15
1032,3083.0,1470
1033,3084.0,1879
1034,3084.0,3061
1035,3085.0,282
1036,3088.0,324
1037,3100.0,377
1038,3101.0,966
1039,3103.0,3591
1040,3103.0,1067
1041,3103.0,1401
1042,3103.0,407
1043,3104.0,875
1044,3106.0,4621
1045,3113.0,1413
1046,3114.0,2593
1047,3116.0,5470
1048,3121.0,1008
1049,3122.0,235
1050,3123.0,3200
1051,3125.0,3360
1052,3128.0,864
1053,3131.0,4060
1054,3136.0,3522
1055,3145.0,177
1056,3147.0,8622
1057,3154.0,149
1058,3156.0,101
1059,3156.0,6185
1060,3163.0,2790
1061,3165.0,730
1062,3167.0,1461
1063,3167.0,859
1064,3170.0,5928
1065,3174.0,143
1066,3177.0,3285
1067,3195.0,1907
1068,3196.0,1120
1069,3198.0,1085
1070,3201.0,188
1071,3201.0,60
1072,3206.0,158
1073,3212.0,1538
1074,3220.0,1096
1075,3220.0,1573
1076,3221.0,1001
1077,3225.0,3313
1078,3235.0,3631
1079,3236.0,1160
1080,3242.0,991
1081,3251.0,35
1082,3257.0,3817
1083,3259.0,4645
1084,3265.0,570
1085,3270.0,463
1086,3272.0,215
1087,3278.0,2216
1088,3278.0,529
1089,3286.0,113
1090,3294.0,13480
1091,3296.0,118
1092,3307.0,23
1093,3308.0,3894
1094,3313.0,264
1095,3314.0,4313
1096,3316.0,37
1097,3322.0,168
1098,3345.0,264
1099,3347.0,2258
1100,3354.0,169
1101,3357.0,110
1102,3362.0,183
1103,3363.0,7227
1104,3377.0,2523
1105,3378.0,1687
1106,3380.0,427
1107,3382.0,868
1108,3383.0,42
1109,3392.0,3944
1110,3395.0,2565
1111,3400.0,2988
1112,3402.0,39
1113,3403.0,117
1114,3407.0,10
1115,3414.0,74
1116,3418.0,979
1117,3419.0,12015
1118,3419.0,723
1119,3422.0,133
1120,3434.0,3789
1121,3437.0,198
1122,3439.0,307
1123,3443.0,1716
1124,3447.0,45
1125,3450.0,350
1126,3459.0,1350
1127,3463.0,1427
1128,3472.0,232
1129,3475.0,39
1130,3476.0,4872
1131,3478.0,672
1132,3483.0,884
1133,3496.0,3534
1134,3496.0,94
1135,3503.0,1119
1136,3505.0,969
1137,3512.0,5419
1138,3513.0,13170
1139,3528.0,1123
1140,3528.0,2847
1141,3538.0,931
1142,3546.0,343
1143,3550.0,176
1144,3551.0,4183
1145,3554.0,2073
1146,3558.0,17
1147,3560.0,748
1148,3567.0,167
1149,3568.0,632
1150,3569.0,954
1151,3569.0,572
1152,3570.0,2110
1153,3584.0,32
1154,3584.0,571
1155,3587.0,1047
1156,3589.0,589
1157,3599.0,2648
1158,3601.0,49
1159,3603.0,329
1160,3610.0,45
1161,3611.0,3453
1162,3613.0,1045
1163,3618.0,845
1164,3623.0,462
1165,3625.0,238
1166,3633.0,283
1167,3639.0,362
1168,3647.0,189
1169,3650.0,267
1170,3651.0,6975
1171,3677.0,5211
1172,3684.0,433
1173,3690.0,307
1174,3693.0,996
1175,3699.0,572
1176,3704.0,126
1177,3708.0,97
1178,3717.0,9501
1179,3719.0,200
1180,3719.0,277
1181,3723.0,143
1182,3731.0,3591
1183,3738.0,129
1184,3740.0,393
1185,3744.0,170
1186,3745.0,533
1187,3747.0,357
1188,3751.0,316
1189,3753.0,433
1190,3758.0,1050
1191,3765.0,109
1192,3765.0,278
1193,3766.0,293
1194,3768.0,2332
1195,3769.0,36
1196,3769.0,4935
1197,3772.0,254
1198,3772.0,72
1199,3776.0,80
1200,3779.0,242
1201,3781.0,1094
1202,3787.0,199
1203,3794.0,27
1204,3795.0,76
1205,3803.0,812
1206,3806.0,2773
1207,3811.0,2372
1208,3813.0,4171
1209,3831.0,231
1210,3834.0,9716
1211,3841.0,3928
1212,3846.0,3876
1213,3862.0,66
1214,3866.0,249
1215,3895.0,136
1216,3899.0,826
1217,3900.0,1712
1218,3917.0,2723
1219,3921.0,644
1220,3924.0,2915
1221,3929.0,2251
1222,3930.0,3400
1223,3930.0,8097
1224,3933.0,1396
1225,3942.0,2931
1226,3950.0,3557
1227,3955.0,84
1228,3961.0,19172
1229,3962.0,216
1230,3962.0,195
1231,3964.0,26
1232,3966.0,254
1233,3966.0,29
1234,3967.0,11
1235,3968.0,528
1236,3969.0,208
1237,3973.0,2043
1238,3974.0,79
1239,3974.0,97
1240,3974.0,2013
1241,3975.0,352
1242,3982.0,3943
1243,4012.0,1743
1244,4012.0,79
1245,4013.0,23600
1246,4014.0,1331
1247,4014.0,1412
1248,4015.0,350
1249,4017.0,549
1250,4017.0,766
1251,4023.0,6625
1252,4028.0,313
1253,4036.0,1475
1254,4041.0,450
1255,4051.0,3835
1256,4054.0,348
1257,4055.0,154
1258,4061.0,1331
1259,4065.0,225
1260,4065.0,5807
1261,4066.0,2473
1262,4069.0,2314
1263,4071.0,98
1264,4076.0,2021
1265,4077.0,28
1266,4083.0,465
1267,4084.0,8985
1268,4091.0,3043
1269,4095.0,2034
1270,4100.0,10413
1271,4113.0,1109
1272,4127.0,177
1273,4128.0,187
1274,4140.0,1721
1275,4144.0,2958
1276,4147.0,4328
1277,4148.0,172
1278,4152.0,596
1279,4154.0,287
1280,4158.0,4140
1281,4173.0,762
1282,4192.0,984
1283,4195.0,100
1284,4202.0,449
1285,4212.0,3061
1286,4213.0,734
1287,4215.0,11569
1288,4216.0,147
1289,4219.0,355
1290,4222.0,124
1291,4226.0,282
1292,4227.0,971
1293,4228.0,110
1294,4235.0,2
1295,4235.0,3785
1296,4236.0,209
1297,4248.0,6378
1298,4248.0,2604
1299,4253.0,2429
1300,4253.0,338
1301,4260.0,1473
1302,4261.0,3880
1303,4264.0,4152
1304,4280.0,28
1305,4285.0,2287
1306,4288.0,1833
1307,4294.0,2629
1308,4299.0,6039
1309,4300.0,774
1310,4305.0,10413
1311,4305.0,3043
1312,4308.0,951
1313,4311.0,299
1314,4321.0,10413
1315,4335.0,4113
1316,4337.0,1911
1317,4338.0,542
1318,4341.0,128
1319,4344.0,3436
1320,4353.0,2764
1321,4358.0,203
1322,4359.0,93
1323,4372.0,102
1324,4388.0,483
1325,4389.0,4249
1326,4392.0,1613
1327,4398.0,4122
1328,4399.0,52
1329,4405.0,169
1330,4405.0,1155
1331,4411.0,1172
1332,4417.0,3324
1333,4417.0,739
1334,4430.0,2014
1335,4443.0,7924
1336,4444.0,4289
1337,4448.0,532
1338,4449.0,3860
1339,4450.0,1216
1340,4456.0,1128
1341,4458.0,83
1342,4460.0,3423
1343,4461.0,582
1344,4462.0,258
1345,4462.0,2418
1346,4462.0,2259
1347,4466.0,12418
1348,4466.0,522
1349,4475.0,651
1350,4477.0,2999
1351,4479.0,877
1352,4481.0,774
1353,4502.0,380
1354,4511.0,1125
1355,4515.0,608
1356,4516.0,4363
1357,4516.0,1476
1358,4516.0,1420
1359,4517.0,217
1360,4517.0,3602
1361,4525.0,8291
1362,4526.0,3656
1363,4542.0,7183
1364,4548.0,102
1365,4548.0,73
1366,4548.0,934
1367,4550.0,1593
1368,4560.0,1769
1369,4566.0,141
1370,4572.0,260
1371,4574.0,582
1372,4580.0,402
1373,4584.0,74
1374,4587.0,1071
1375,4588.0,678
1376,4590.0,352
1377,4614.0,214
1378,4614.0,1170
1379,4618.0,1800
1380,4619.0,617
1381,4626.0,2789
1382,4628.0,221
1383,4631.0,55
1384,4640.0,927
1385,4653.0,2862
1386,4662.0,1265
1387,4671.0,4904
1388,4673.0,330
1389,4673.0,6
1390,4677.0,193
1391,4678.0,2427
1392,4681.0,2515
1393,4692.0,615
1394,4701.0,659
1395,4705.0,64
1396,4707.0,1171
1397,4708.0,468
1398,4710.0,1404
1399,4718.0,10092
1400,4724.0,916
1401,4736.0,157
1402,4736.0,459
1403,4740.0,445
1404,4741.0,337
1405,4741.0,3991
1406,4750.0,536
1407,4753.0,3259
1408,4753.0,1255
1409,4754.0,1120
1410,4763.0,1774
1411,4774.0,628
1412,4775.0,717
1413,4776.0,434
1414,4781.0,3764
1415,4786.0,1
1416,4787.0,925
1417,4793.0,704
1418,4794.0,1941
1419,4798.0,251
1420,4801.0,3945
1421,4802.0,848
1422,4803.0,81
1423,4809.0,1354
1424,4809.0,810
1425,4818.0,4877
1426,4823.0,3674
1427,4824.0,48
1428,4831.0,786
1429,4832.0,374
1430,4834.0,484
1431,4835.0,3306
1432,4835.0,1175
1433,4847.0,2773
1434,4852.0,16636
1435,4852.0,86
1436,4867.0,1213
1437,4876.0,86
1438,4876.0,10404
1439,4879.0,918
1440,4880.0,4471
1441,4881.0,2312
1442,4885.0,1710
1443,4886.0,2581
1444,4896.0,51
1445,4902.0,1909
1446,4902.0,474
1447,4903.0,7930
1448,4907.0,2011
1449,4919.0,281
1450,4926.0,277
1451,4928.0,2369
1452,4930.0,1494
1453,4931.0,970
1454,4932.0,812
1455,4939.0,177
1456,4939.0,603
1457,4941.0,97
1458,4941.0,4572
1459,4947.0,2574
1460,4950.0,1542
1461,4950.0,321
1462,4951.0,2245
1463,4951.0,14666
1464,4961.0,696
1465,4969.0,2831
1466,4973.0,6197
1467,4974.0,223
1468,4981.0,17873
1469,4984.0,680
1470,5016.0,1064
1471,5018.0,1204
1472,5019.0,8494
1473,5023.0,2248
1474,5024.0,1127
1475,5033.0,422
1476,5040.0,408
